id,toxic,obscene,threat,insult,identity_hate
"""userName"":""mrch****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""leeh****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""munj****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""hanz****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""love****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""rkdm****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""cjy4****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""gage****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kgg0****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""jinw****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""hyel****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""knjk****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""hero****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""dago****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""csg6****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""term****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""gogu****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""fore****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""wtfi****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""16to****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""wonh****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kudi****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""bk_s****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""ldj1****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kwon****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""calt****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""jang****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""hajs****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""aabu****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kafk****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""viol****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kodd****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""star****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""sshc****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""rabb****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""cork****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""nera****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""dwoo****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""outl****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""work****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kgy7****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""hase****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""samc****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""lala****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""cyk3****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""jax-****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""k261****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""rihu****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""ejej****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""nowc****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""leed****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""jkp0****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""rlaa****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kk87****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""reds****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""sumi****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""ey50****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""blue****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""likk****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""gmb4****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""hyer****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""jbse****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""zxcb****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""cjy1****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""rbal****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""yang****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""dbst****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""ciel****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""maba****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""idos****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""shir****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""aret****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""dasi****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""mjs4****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""sseo****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""redd****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""lkmk****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""mupy****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""heej****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""park****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""dong****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""syer****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""aljj****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""jisa****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""aume****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""sato****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""210w****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""wldm****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""comp****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""die7****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""orla****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""flor****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""blue****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""pres****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""shzo****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""dign****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""k592****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kkjj****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""woog****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""kde8****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""dand****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""anna****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""povd****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""will****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""mks6****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
"""userName"":""lala****"",""userProfileImage""",0.5,0.5,0.5,0.5,0.5
