id,text,toxic,obscene,threat,insult,identity_hate
"""userName"":""jinh****"",""userProfileImage""","""삼성이 갤럭시 만들어서 견제를 해 주니깐 앱등이 니들이 그나마 사과폰 100만원대로 사서 쓸 수 있는거다 머절이 들아""",1.0,0.0,0.0,1.0,0.0
"""userName"":""okju****"",""userProfileImage""","""크\n이쁘다\n삼성 굿""",0.0,0.0,0.0,0.0,0.0
"""userName"":""dokk****"",""userProfileImage""","""삼성 냉장고에디션이네 ㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""cksd****"",""userProfileImage""","""미니언즈""",0.0,0.0,0.0,0.0,0.0
"""userName"":""airj****"",""userProfileImage""","""삼성 서비스부터가 넘사볙""",0.0,0.0,0.0,0.0,0.0
"""userName"":""gosa****"",""userProfileImage""","""삼성 스마트폰 폰바꾼지 4년이 되었건만 5G로 바꾸기 싫어 개기고 있는데 불편한거 아무것도 없이 멀쩡~ 내구성 좋고 품질도 뛰어나다! 앞으로도 삼성만 쓸거임~ 특별히 애국하려 쓰는것도 아니고 품질에 만족하니깐 쓰기도 편하고""",0.0,0.0,0.0,0.0,0.0
"""userName"":""makn****"",""userProfileImage""","""2017년 노트8 아직도 쌩쌩.삼성페이 덕분에 지갑도 안들고 다님.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""0000****"",""userProfileImage""","""제목이 엉터리네 뭔 미국이 아이폰만 사 ? 일본이 그렇겠지 미국. 캐나다 는 예전부터 삼성 엘지 폰 도 엄청 잘 팔린 지역 이구만. ..\n\n\n올해 3분기 미국 스마트폰 시장에서 애플이 42%, 삼성이 35%의 점유율""",1.0,0.0,0.0,0.0,1.0
"""userName"":""jk98****"",""userProfileImage""","""색감 더 이쁘게 뽑았으면 좋겠음. 파스텔톤이나 웜톤 이쁜색이 얼마나 많은데 ㅜㅜ""",1.0,0.0,0.0,0.0,0.0
"""userName"":""su14****"",""userProfileImage""","""대한민국 삼성!\n삼성이 대한민국기업이란게 자랑스럽습니다""",0.0,0.0,0.0,0.0,0.0
"""userName"":""wswh****"",""userProfileImage""","""뭐가 이쁜거지""",1.0,0.0,0.0,0.0,0.0
"""userName"":""eija****"",""userProfileImage""","""저 색조합이 예쁨??""",0.0,0.0,0.0,0.0,0.0
"""userName"":""9dod****"",""userProfileImage""","""솔직히 이쁘네요 디자인상감인데요!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""nolj****"",""userProfileImage""","""이번껀 디자인은 인정 20대 애플빠도 플립으로 많이바꿨더라구요""",0.0,0.0,0.0,0.0,0.0
"""userName"":""neul****"",""userProfileImage""","""예쁘긴 해 인정 세련된거 인정""",0.0,0.0,0.0,0.0,0.0
"""userName"":""sjsg****"",""userProfileImage""","""초미니 냉장고""",0.0,0.0,0.0,0.0,0.0
"""userName"":""kcvi****"",""userProfileImage""","""헤럴드는 옛날 부터 삼성폰 아님 기사쓸게 없냐?""",1.0,0.0,0.0,1.0,0.0
"""userName"":""iadr****"",""userProfileImage""","""삼성 갤럭시 Z플립은 그동안 삼성에서 내온 다른 제품들에 비해 이례적으로 젊은 층들에게도 반응이 좋은 것 같아요. 기능은 물론 디자인 면에서도 많이 신경썼다는 느낌이 들었습니다. 이런 노력이 세계적으로 인정 받고 있는 것 같아서 기분이 좋네요! 자랑스럽습니다.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""ooqp****"",""userProfileImage""","""촌스러운데 ㅜㅜ""",1.0,0.0,0.0,1.0,0.0
"""userName"":""lch3****"",""userProfileImage""","""핸드폰은 삼성이지!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""ajw0****"",""userProfileImage""","""삼성만이 이제 폴더블폰으로 스마트폰 성장의 한계와 정체성에서 벗어나는듯! 이제 홀로 꾸준히 성장하겠구만, 덩달아 갤럭시생태계의 확장으로 웨어러블은 물론 티비와 가전까지 꾸준한 성장을 이어갈듯!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""elds****"",""userProfileImage""","""삼성이 세금안내주면 니네들 월급 50%세금으로 빠져나간다\n앱등이들아""",1.0,0.0,0.0,0.0,1.0
"""userName"":""oxyg****"",""userProfileImage""","""Z플립3  쓰는데 \n쓸때마다 만족하고 있어요 \n삼성페이도 최고요""",0.0,0.0,0.0,0.0,0.0
